,course_id,title,cleaned_content
121,215,Supporting children with difficulties in reading and writing,"this course is for teachers to learn why some children have so much difficulty with reading and writing, often called dyslexia , and to learn more about best practice in teaching literacy to all in light of recent scientific discoveries participation in or completion of this online course will not confer academic credit for university of london programmes an overview writing systems models of reading acquisition the decoding and direct paths the importance of automatization bilingualism hours to complete hours to complete reading videos total min , readings, quiz see all video videos the promotional video m introduction by jenny and vincent m writing systems m models of reading part m models of reading part m the importance of automatization m bilingualism part m bilingualism part m reading readings start here m syllabus m grading m resources m glossary m downloads m faqs m the course team m acknowledgements m new reading m module one m module one resources m quiz practice exercise module one m week week hours to complete hours to complete definitions and identification of dyslexia causes identification erous activities include simple methods of observation not formal diagnosis hours to complete hours to complete reading videos total min , readings, quiz see all video videos definition and causes m identification pre primary m identification primary m informal assessment part m informal assessment part m informal assessment part m identification later years m identification later years m reading readings module two m module two resources m quiz practice exercise module two m week week hours to complete hours to complete co morbidity , and psychological and social aspects the dys constellation dyspraxia, dyscalculia etc audition vision loss of self esteem long term effects of school drop out and antisocial behaviour evidence from canada positive aspects of dyslexia and unusual aptitudes discussion around pros and cons of labelling a child hours to complete hours to complete reading videos total min , readings, quizzes see all video videos audition m vision m attention m math s dyscalculia m dyspraxia m oral language impairment m psychological aspects part m psychological aspects part m positive aspects m pros and cons of labelling m reading readings module three m module three resources and assessment information m peer reviews m more tips on uploading your assignment m quiz practice exercise module three m week week hours to complete hours to complete practical teaching approaches part general principles of inclusion structured, multisensory, phonics based and metacognitive approaches summaries of recent influential reports of best practice from france, the uk and usa applying these approaches across the curriculum learning styles reading, spelling, comprehension and composition visualization and mind mapping hours to complete hours to complete reading videos total min , readings, quizzes see all video videos inclusion m reports on reading m general principles part m general principles part m subject specific science, history and math s m individualization m reading readings module four m module four resources and assessment information m quiz practice exercise module four m show more"
122,216,Innovation Management,"what is innovation management how do firms bring in new business models and get new products and services to the market go on a nine week journey through innovation management concepts, theories of idea generation, selection, strategy formulation and implementation in this mooc in innovation management in it, you will also learn the tools for implementing innovation projects yourself guided by world class academics, you will develop an innovative mindset and expertise in how firms successfully create new ideas for marketing new products the syllabus also includes sessions about innovation strategy, idea management and social networks during this course, you will learn how to use the main innovation management terminology and concepts explain the adoption life cycle and innovation adoption at the individual level define creativity and explain how creativity can be stimulated recognise and describe three types of idea management systems explain what an innovation strategy is and why it is important describe what a product portfolio is explain how innovation projects should be selected and managed explain the importance of teams, team structures and networks for innovation rotterdam school of management, erasmus university rsm is one of europe s leading business schools, and ranked among the top three for research rsm s primary focus is on developing business leaders with international careers who carry their innovative mindset into a sustainable future go to www rsm nl for more information this nine week mooc in innovation management is taught in english there is no fee to participate in the programme week week hours to complete hour to complete introduction after this week s studies and the associated exercise, you will understand the meaning of innovation and innovation management also, you will learn to identify and differentiate between various types of innovation as a result, you will become acquainted with basic terminology that will help you to better process and understand the course content of the following weeks hours to complete hour to complete reading videos total min see all video videos about this course m what is innovation management m product, service and process innovations m incremental and radical innovations m architectural and modular innovations m week week hours to complete hour to complete the adoption of innovations you will learn to understand how innovations diffuse in society you will be able to describe the adoption life cycle and discriminate between the various adopter groups you will also learn what it takes for someone to adopt something new altogether, you will gain a better understanding of what determines whether and how fast people adopt innovations hours to complete hour to complete reading videos total min see all video videos the adoption lifecycle m innovation adoption at the individual level m quiz practice exercise quiz week m week week hours to complete hours to complete the fuzzy front end creativity in a knowledge based and innovation driven business environment, creativity is an essential capability if an organisation is to gain a sustainable competitive advantage all innovations begin with creative ideas, and creativity is also needed during the entire innovation process so, it is imminent that employees in any job and at any level of the organisation can contribute to innovation with creative ideas this module comprises of four instruction videos, one interview with a creativity consultant, and two assignments after this module you will understand what creativity is and how you, other people and groups become more creative crucial knowledge for any manager that wants to excel in innovation hours to complete hours to complete reading videos total min see all video videos introduction to creativity m what makes people creative m how can we enhance creativity m how can groups be creative m interview on creativity consulting m week week hours to complete hour to complete the fuzzy front end idea management organisations receive many new ideas from employees, suppliers, and customers but they often do not realise the innovative potential of these ideas because they fail to properly manage them by studying this module and doing the associated exercises, you will understand the basic principles of idea management you will be able to differentiate between three types of idea management programmes, and learn about their different characteristics, advantages and disadvantages in addition, you will learn about two general challenges that many idea management programmes face how to motivate people to continuously submit ideas and how to improve the quality of ideas a better understanding of the principles, differences, and challenges of idea management will help you design appropriate idea management programmes that turn new ideas into successful innovations hours to complete hour to complete reading videos total min see all video videos idea management principles m idea management types m idea management challenges m quiz practice exercise quiz week m show more"
123,217,The Manager s Toolkit A Practical Guide to Managing People at Work,"the aim of this course is to give you a practical guide to managing people at work it does not matter whether you are a first time manager in a shop or a middle manager in an office environment the same skills apply to every work place in the course you will engage with some hr theories and then see how they translate into every day working life at the end of the course we hope you will be better equipped to choose a suitable employee, to motivate and appraise your team, to manage conflict in the work place and to lead and make decision on a day to day basis week week hours to complete hour to complete introduction the first week gives you a chance to do some preparatory reading which will give you a good general overview of the subject area before the teaching starts in week hours to complete hour to complete reading videos total min , readings see all video videos and introduction part m introduction part m reading readings introductory readings m optional viewing m week week hours to complete hours to complete interviews this week we will be focusing on the role of the interview, how to conduct a good interview as well as looking at options to the interview and discussing whether it is the best method of selecting new members of staff hours to complete hours to complete reading videos total min , reading, quizzes see all video videos introduction and overview m the structured interview m the unstructured interview m alternative to interviews tests and assessment centres m other varieties panels, boards, telephone and virtual interviews m reading reading recommended readings m quiz practice exercises session quiz m session quiz m session quiz m session quiz m session quiz m final assessment m week week hours to complete hours to complete leadership and decision making this week we are looking at the role of the leader in the organization and how we can improve our to improve our decision making hours to complete hours to complete reading videos total min , readings, quizzes see all video videos leadership session m leadership session m components of choice m expected utility theory m how we actually make choices m how to improve decision making m reading readings a review of leadership theory and competency frameworks m how can decision making be improved m further readings h quiz practice exercises session quiz m session quiz m session quiz m session quiz m session quiz m assessment for leadership decision making m week week hours to complete hours to complete performance management this week we are looking at how a well designed performance management system can help both the employee and the organization hours to complete hours to complete reading videos total min , readings, quizzes see all video videos an introduction to performance management m the performance management cycle m performance appraisal m ways to evaluate individual performance m designing a performance management system m reading readings appraisal of performance and potential m performance management and appraisal m power point slides m smart goals practice sheet m power point slides m power point slides m power point slides m power point slides m quiz practice exercises session quiz m session quiz m session quiz m session quiz m session quiz m performance management m show more"
124,218,"The Modern World, Part One Global History from to","this is a survey of modern history from a global perspective part one begins with the political and economic revolutions of the late s and tracks the transformation of the world during the s part one concludes as these bewildering changes seem to be running beyond the capacity of older institutions to handle them throughout the course we try to grasp what is happening and ask why and the answers often turn on very human choices from the traditional to the modern commercial and military revolutions hours to complete hours to complete reading videos total min see all video videos the study of history m the great divide m the traditional and the modern m the great divide why m the world of m the commercial revolution m the military revolution m introverts and extroverts m the fates of india and north america m quiz practice exercise week one quiz m week week hours to complete hours to complete democratic revolutions of the atlantic world hours to complete hours to complete reading videos total min see all video videos the diffusion of authority m democratic revolutions m these united states m liberty and common sense m the french revolution m the french republic m the world s revolution m quiz practice exercise week two quiz m week week hours to complete hours to complete revolutionary wars hours to complete hours to complete reading videos total min see all video videos lucky americans m napoleonic wars m the end of spanish america m new republics and empires in the americas m the tipping point india m the world of m quiz practice exercise week three quiz m week week hours to complete hours to complete the world transformed hours to complete hours to complete reading videos total min see all video videos the great divergence why m engines, electricity, evolution m harnessing the new forces m the new situation m the islamic world adapts m breaking open china and japan m quiz practice exercise week four quiz m show more"
125,219,Fundamentals of Music Theory,"this course will introduce students to the theory of music, providing them with the skills needed to read and write western music notation, as well as to understand, analyse, and listen informedly it will cover material such as pitches and scales, intervals, clefs, rhythm, form, meter, phrases and cadences, and basic harmony this course covers the fundamentals of western music theory, from the absolute basics to some more advanced concepts and, as such, is the perfect course for beginners and more experienced musicians alike follow us on twitter musictheorymooc edmusictheory week week hours to complete hour to complete pitches, scales, modes and chords hours to complete hour to complete reading videos total min , readings, quiz see all video videos introduction m musical notes m octaves m more on scales m introduction to chords m primary chords m reading readings meet the team musical notes octaves more on scales introduction to chords primary chords quiz practice exercise lecture one m week week hours to complete hour to complete keys, minor scales, intervals and clefs hours to complete hour to complete reading videos total min , readings, quiz see all video videos introduction s sharps flats m keys and key signatures m minor keys m intervals m ledger lines and clefs m reading readings sharps and flats keys and key signatures minor keys intervals ledger lines and clefs quiz practice exercise lecture two m week week hours to complete hour to complete rhythm and form hours to complete hour to complete reading videos total min , readings, quiz see all video videos introduction s rhythmic duration m tuplets m ties dots m meter m anacrusis, phrases and structure m form m reading readings rhythmic duration tuplets ties and dots meter anacrusis, phrases, and structure form quiz practice exercise lecture three m week week hours to complete hour to complete harmony functional harmony hours to complete hour to complete reading videos total min , readings, quiz see all video videos introduction s listening m elaborating m building m harmonising m summary m reading readings listening to triads and hearing the key note elaborating building triads harmonising summary quiz practice exercise lecture four m show more"
126,220,Supply Chain Principles,"this course will provide a solid understanding of what a supply chain is all about the course provides an introduction to supply chain leverages graphics to promote the integrated supply chain model emphasizes understanding the extended supply chain presents a holistic approach incorporating people, process, and technology calls out industry specific supply chain leverages discussions, videos, quizzes, and questions for consideration provides awareness of career path opportunities presents emerging and futuristic trends in supply chain and given that at gt we are focused on developing what s next in the world, we include discussion of emerging and futuristic trends in supply chain there is very little math involved in this course so don t worry at all about your math skills the course incorporates reading materials that were developed as part of a m taaccct grant awarded by the u s department of labor s employment and training administration to the lincs in supply chain management consortium supply chain concepts hours to complete hours to complete reading videos total min , readings, quizzes see all video videos to supply chain management m supply chain concepts m supply chain operations reference model m supply chain networks m supply chain financial impacts m the future of supply chain management m supply chain profession m customer service m supply chain sustainability m reading readings consent form m supply chain concepts m get more from georgia tech m week glossary m extra material m quiz practice exercise week quiz m week week hours to complete hours to complete planning procurement hours to complete hours to complete reading videos total min , readings, quiz see all video videos integrated business planning m sales and operations planning m demand forecasting m replenishment planning m procurement overview m strategic sourcing m supplier management m transaction execution m reading readings planning procurement m week glossary m extra material m quiz practice exercise week quiz m week week hours to complete hours to complete manufacturing service operations hours to complete hours to complete reading videos total min , readings, quiz see all video videos manufacturing overview m manufacturing processes m strategic decisions m manufacturing planning control m operational improvement m manufacturing systems m performance metrics m maintenance operation m reading readings manufacturing service operations m week glossary m extra material m quiz practice exercise week quiz m week week hours to complete hours to complete warehousing operations hours to complete hours to complete reading videos total min , readings, quiz see all video videos warehousing operations m strategic warehouse m values add roles of warehouses m receiving m storage m picking packing operations m shipment m warehouse management systems m reading readings warehousing operations m week glossary m extra material m quiz practice exercise week quiz m show more"
127,221,Essential Google Cloud Infrastructure Core Services,"this accelerated on demand course introduces participants to the comprehensive and flexible infrastructure and platform services provided by google cloud with a focus on compute engine through a combination of video lectures, demos, and hands on labs, participants explore and deploy solution elements, including infrastructure components such as networks, systems and applications services this course also covers deploying practical solutions including customer supplied encryption keys, security and access management, quotas and billing, and resource monitoring supply chain concepts hours to complete hours to complete reading videos total min , readings, quizzes see all video videos to supply chain management m supply chain concepts m supply chain operations reference model m supply chain networks m supply chain financial impacts m the future of supply chain management m supply chain profession m customer service m supply chain sustainability m reading readings consent form m supply chain concepts m get more from georgia tech m week glossary m extra material m quiz practice exercise week quiz m week week hours to complete hours to complete planning procurement hours to complete hours to complete reading videos total min , readings, quiz see all video videos integrated business planning m sales and operations planning m demand forecasting m replenishment planning m procurement overview m strategic sourcing m supplier management m transaction execution m reading readings planning procurement m week glossary m extra material m quiz practice exercise week quiz m week week hours to complete hours to complete manufacturing service operations hours to complete hours to complete reading videos total min , readings, quiz see all video videos manufacturing overview m manufacturing processes m strategic decisions m manufacturing planning control m operational improvement m manufacturing systems m performance metrics m maintenance operation m reading readings manufacturing service operations m week glossary m extra material m quiz practice exercise week quiz m week week hours to complete hours to complete warehousing operations hours to complete hours to complete reading videos total min , readings, quiz see all video videos warehousing operations m strategic warehouse m values add roles of warehouses m receiving m storage m picking packing operations m shipment m warehouse management systems m reading readings warehousing operations m week glossary m extra material m quiz practice exercise week quiz m show more"
128,222,Weight Management Beyond Balancing Calories,"across the globe, more people are suffering from obesity than at any other time in our history why has obesity become so common and so challenging in this course, we will look at the root cause of obesity, as explained by the latest science we will see how our food environment has evolved over the last half century, and how it is altering our biology to over consume calories and resist sustained weight loss we will also see how stress, a sedentary lifestyle, and inadequate sleep disrupt our appetite control system to promote gaining weight by developing a better understanding of the physiology behind obesity, you will learn how to work with your body to prevent and manage weight gain this course will also provide practical tools and strategies for creating a long term, sustainable weight management plan to leverage your habits and your surroundings understanding obesity since the discovery of the first appetite hormone in the s, the science of obesity has advanced dramatically the growing understanding of how hunger and weight set point are regulated is changing the way we need to approach weight loss this week, we will see how the brain, hormones, gut, and emotions interact to control food intake and weight by learning about our biology, and how to work with rather than against it, you will become more successful at reaching your goals hours to complete hours to complete reading videos total min , readings, quizzes see all video videos to the course m dealing with something greater than willpower m how we regulate appetite food intake m obesity as a disease of weight set point m why there s no one size fits all approach to losing weight m reading readings course outline grading information m week m the science behind weight regain h weight set point genetics m quiz practice exercise let s practice m week week hours to complete hours to complete managing obesity the role of diet counting calories can be helpful, but not all calories are created equal different foods are broken down and interact with our body in dramatically different ways this week, we will look at the common ground among the healthiest dietary patterns and outline a framework for the diet best supported by existing scientific studies hours to complete hours to complete reading videos total min , readings, quizzes see all video videos how processed foods interact with our biology m the benefits of whole foods m weight loss diet wars is there a best diet m reading readings week m processed foods diet m the role of whole foods h m quiz practice exercise let s practice m week week hours to complete hours to complete beyond diet the role of stress, exercise, sleep while the foods we eat are critical for managing weight, they are only part of the challenge often underestimated are the effects of stress, exercise, and sleep the goal this week is to see how each of these factors can influence the hormones and chemicals that control our appetite and metabolism hours to complete hours to complete reading videos total min , readings, quizzes see all video videos stress, hormones, emotional eating m exercise physical activity powering your metabolism m sleep deprivation appetite m reading readings week m stress m exercise m sleep m quiz practice exercise let s practice m week week hours to complete hours to complete using habit emotions to your advantage habits drive many of our everyday choices unlike deliberate decisions, habits are carried out instinctively in addition to knowing about the foods and behaviors we need to adopt, we need to engineer habits to support out goals subconsciously this week, we will learn how to use habit to our advantage and practice mindfulness when we eat hours to complete hours to complete reading videos total min , readings, quizzes see all video videos conscious choice versus subconscious habit m how to consistently make healthy choices m developing a better relationship with food m reading readings week m environment unconscious choice h how to be a mindful eater m quiz practice exercise let s practice m show more"
129,223,Miracles of Human Language An Introduction to Linguistics,"everywhere, every day, everybody uses language there is no human society, no matter how small or how isolated, which does not employ a language that is rich and diverse this course introduces you to linguistics, featuring interviews with well known linguists and with speakers of many different languages join us to explore the miracles of human language the miracles of human language introduces you to the many faceted study of languages, which has amazed humans since the beginning of history together with speakers of many other languages around the world, as well as with famous linguists such as noam chomsky and adele goldberg, you will learn to understand and analyse how your native tongue is at the same time similar and different from many other languages you will learn the basic concepts of linguistics, get to know some of the key features of big and small languages and get insight into what linguists do this course gives an introduction into the study of languages, the field of linguistics with the support of the basic linguistic terminology that is offered in the course, you will soon be able to comment both on variety between languages, as well as on a single language s internal structure anyone who wishes to understand how languages work, and how they can give us insight into the human mind is very welcome to join the course is useful if you want to get a fairly quick introduction into linguistics, for instance because you are considering studying it further, or because you are interested in a neighbouring discipline such as psychology, computer science or anthropology furthermore, the course will help you develop analytical skills if you are curious to understand how language works and how it gives insight into the human mind, this course is definitely for you introduction to linguistics in this first week, we will try to determine what makes language human why do almost all human beings have a language, and what makes human language different from animal communication systems we will furthermore discuss the many different places where linguists work, and the many different methodologies that they use for conducting their research you will moreover get to know all the other participants in this mooc my students inge and marten, as well as the speakers of six different languages finally, don t forget to watch our first expert interview marten and inge have talked with dr victoria nyst of leiden university, who has enlightened us in the fascinating world of sign languages for the assignments with the support of ethnologue, please make sure to study the instructions listed in required and optional readings of this module hours to complete hours to complete reading videos total min , readings, quiz see all video videos to the miracles of human language m how to succeed in your online class m human language and animal communication systems m human language versus other languages m discussion with marten and inge language diversity m language diversity and ethnologue m discussion with marten and inge what do linguists do m interview with dr victoria nyst m introduction language informants introducing han hu, speaker of mandarin chinese m introducing roberta d alessandro, speaker of abruzzese s introducing khalid mourigh, speaker of tarifit berber s introducing varun de castro arrazola, speaker of basque m introducing beste sevindik, speaker of turkish m introducing enoch aboh, speaker of gungbe m conclusion language and dialect m reading readings meet the instructor his team m leiden university facts figures m community guidelines m what is your learning path m registration ethnologue m required and optional readings m quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of sound phonology and phonetics in this module we will delve into what appear to be the smallest building blocks of spoken language sounds as we will see however, all is not what it seems, as we will in fact encounter an even smaller building block of language, a true atom another interesting thing about this module is that as of this week our informants will all only speak their own language naturally, there is also an interview with my very special friend prof dr claartje levelt, whom i have announced before hours to complete hours to complete reading videos total min , reading, quiz see all video videos distinguishing consonants m production of speech sounds m discussion with marten and inge consonants of world languages m sounds in systems m discussion with marten and inge sounds and language change m interview with prof dr claartje levelt m introduction tarifit berber m gungbe m turkish m abruzzese m mandarin chinese m basque m conclusion sounds and gestures m reading reading required and optional readings m quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of words and sentences morphology and syntax in this module we will discuss words and sentences all languages have them but as i will illustrate, they can be organized in very different ways in different languages i will furthermore demonstrate what cupcakes have in common with words in a sentence this module s interview is with one of the most cited and re knowned linguists alive, prof noam chomsky finally, our language informants will provide us with information about the word order in their languages hours to complete hours to complete reading videos total min , reading, quizzes see all video videos words and sentences m morphology m discussion with marten and inge world of words m syntax and word order a m syntax and word order b m discussion with marten and inge world of word order m interview with prof noam chomsky m introduction basque m tarifit berber m gungbe m turkish s abruzzese m mandarin chinese s conclusion structure beyond sentences m reading reading required and optional readings h quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of meaning pragmatics and semantics this module deals with a topic which many of you find very interesting meaning how do we determine what a word means to what extent does our language influence our thinking how can we change the world with language as usual, we also have an additional interview with an expert of the current module s theme in this module barend beekhuizen talks to inge and marten about his work as a leiden ph d student in computational linguistics hours to complete hours to complete reading videos total min , readings, quiz see all video videos layers of meaning m semantics m discussion with marten and inge color and snow m pragmatics m discussion with marten and inge changing the world with sentences m interview with barend beekhuizen ma m introduction abruzzese m tarifit berber m turkish m basque s mandarin chinese m gungbe m conclusion untranslatable words m reading readings required and optional readings h quiz readings m quiz practice exercise test your knowledge m show more"
130,224,Java Programming Solving Problems with Software,"learn to code in java and improve your programming and problem solving skills you will learn to design algorithms as well as develop and debug programs using custom open source classes, you will write programs that access and transform images, websites, and other types of data at the end of the course you will build a program that determines the popularity of different baby names in the us over time by analyzing comma separated value csv files after completing this course you will be able to edit, compile, and run a java program use conditionals and loops in a java program use java api documentation in writing programs debug a java program using the scientific method write a java method to solve a specific problem develop a set of test cases as part of developing a program create a class with multiple methods that work together to solve a problem and use divide and conquer design techniques for a program that uses multiple methods introduction to linguistics in this first week, we will try to determine what makes language human why do almost all human beings have a language, and what makes human language different from animal communication systems we will furthermore discuss the many different places where linguists work, and the many different methodologies that they use for conducting their research you will moreover get to know all the other participants in this mooc my students inge and marten, as well as the speakers of six different languages finally, don t forget to watch our first expert interview marten and inge have talked with dr victoria nyst of leiden university, who has enlightened us in the fascinating world of sign languages for the assignments with the support of ethnologue, please make sure to study the instructions listed in required and optional readings of this module hours to complete hours to complete reading videos total min , readings, quiz see all video videos to the miracles of human language m how to succeed in your online class m human language and animal communication systems m human language versus other languages m discussion with marten and inge language diversity m language diversity and ethnologue m discussion with marten and inge what do linguists do m interview with dr victoria nyst m introduction language informants introducing han hu, speaker of mandarin chinese m introducing roberta d alessandro, speaker of abruzzese s introducing khalid mourigh, speaker of tarifit berber s introducing varun de castro arrazola, speaker of basque m introducing beste sevindik, speaker of turkish m introducing enoch aboh, speaker of gungbe m conclusion language and dialect m reading readings meet the instructor his team m leiden university facts figures m community guidelines m what is your learning path m registration ethnologue m required and optional readings m quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of sound phonology and phonetics in this module we will delve into what appear to be the smallest building blocks of spoken language sounds as we will see however, all is not what it seems, as we will in fact encounter an even smaller building block of language, a true atom another interesting thing about this module is that as of this week our informants will all only speak their own language naturally, there is also an interview with my very special friend prof dr claartje levelt, whom i have announced before hours to complete hours to complete reading videos total min , reading, quiz see all video videos distinguishing consonants m production of speech sounds m discussion with marten and inge consonants of world languages m sounds in systems m discussion with marten and inge sounds and language change m interview with prof dr claartje levelt m introduction tarifit berber m gungbe m turkish m abruzzese m mandarin chinese m basque m conclusion sounds and gestures m reading reading required and optional readings m quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of words and sentences morphology and syntax in this module we will discuss words and sentences all languages have them but as i will illustrate, they can be organized in very different ways in different languages i will furthermore demonstrate what cupcakes have in common with words in a sentence this module s interview is with one of the most cited and re knowned linguists alive, prof noam chomsky finally, our language informants will provide us with information about the word order in their languages hours to complete hours to complete reading videos total min , reading, quizzes see all video videos words and sentences m morphology m discussion with marten and inge world of words m syntax and word order a m syntax and word order b m discussion with marten and inge world of word order m interview with prof noam chomsky m introduction basque m tarifit berber m gungbe m turkish s abruzzese m mandarin chinese s conclusion structure beyond sentences m reading reading required and optional readings h quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of meaning pragmatics and semantics this module deals with a topic which many of you find very interesting meaning how do we determine what a word means to what extent does our language influence our thinking how can we change the world with language as usual, we also have an additional interview with an expert of the current module s theme in this module barend beekhuizen talks to inge and marten about his work as a leiden ph d student in computational linguistics hours to complete hours to complete reading videos total min , readings, quiz see all video videos layers of meaning m semantics m discussion with marten and inge color and snow m pragmatics m discussion with marten and inge changing the world with sentences m interview with barend beekhuizen ma m introduction abruzzese m tarifit berber m turkish m basque s mandarin chinese m gungbe m conclusion untranslatable words m reading readings required and optional readings h quiz readings m quiz practice exercise test your knowledge m show more"
131,225,Race and Cultural Diversity in American Life and History,"learners will deepen their understanding and appreciation of ways in which race, ethnicity and cultural diversity have shaped american institutions, ideology, law, and social relationships from the colonial era to the present race and ethnicity are ideological and cultural categories that include all groups and individuals hence, this course is designed in significant part to take a broad look at the ideology of race and cultural diversity in america s past and present the primary focus is on the historical and social relationships among european americans, native americans, african americans, latino/as, and asian/pacific americans issues of race and ethnicity are examined across different ethno cultural traditions in order to interweave diverse experiences into a larger synthesis of the meaning of race and ethnicity in american life in this course, we conceive of race and diversity as references to the entire american population, even as we recognize that different groups have unique historical experiences resulting in distinctive and even fundamental cultural differences we treat race and ethnicity as dynamic, complex ideological and cultural processes that shape all social institutions, belief systems, inter group relationships, and individual experiences introduction to linguistics in this first week, we will try to determine what makes language human why do almost all human beings have a language, and what makes human language different from animal communication systems we will furthermore discuss the many different places where linguists work, and the many different methodologies that they use for conducting their research you will moreover get to know all the other participants in this mooc my students inge and marten, as well as the speakers of six different languages finally, don t forget to watch our first expert interview marten and inge have talked with dr victoria nyst of leiden university, who has enlightened us in the fascinating world of sign languages for the assignments with the support of ethnologue, please make sure to study the instructions listed in required and optional readings of this module hours to complete hours to complete reading videos total min , readings, quiz see all video videos to the miracles of human language m how to succeed in your online class m human language and animal communication systems m human language versus other languages m discussion with marten and inge language diversity m language diversity and ethnologue m discussion with marten and inge what do linguists do m interview with dr victoria nyst m introduction language informants introducing han hu, speaker of mandarin chinese m introducing roberta d alessandro, speaker of abruzzese s introducing khalid mourigh, speaker of tarifit berber s introducing varun de castro arrazola, speaker of basque m introducing beste sevindik, speaker of turkish m introducing enoch aboh, speaker of gungbe m conclusion language and dialect m reading readings meet the instructor his team m leiden university facts figures m community guidelines m what is your learning path m registration ethnologue m required and optional readings m quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of sound phonology and phonetics in this module we will delve into what appear to be the smallest building blocks of spoken language sounds as we will see however, all is not what it seems, as we will in fact encounter an even smaller building block of language, a true atom another interesting thing about this module is that as of this week our informants will all only speak their own language naturally, there is also an interview with my very special friend prof dr claartje levelt, whom i have announced before hours to complete hours to complete reading videos total min , reading, quiz see all video videos distinguishing consonants m production of speech sounds m discussion with marten and inge consonants of world languages m sounds in systems m discussion with marten and inge sounds and language change m interview with prof dr claartje levelt m introduction tarifit berber m gungbe m turkish m abruzzese m mandarin chinese m basque m conclusion sounds and gestures m reading reading required and optional readings m quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of words and sentences morphology and syntax in this module we will discuss words and sentences all languages have them but as i will illustrate, they can be organized in very different ways in different languages i will furthermore demonstrate what cupcakes have in common with words in a sentence this module s interview is with one of the most cited and re knowned linguists alive, prof noam chomsky finally, our language informants will provide us with information about the word order in their languages hours to complete hours to complete reading videos total min , reading, quizzes see all video videos words and sentences m morphology m discussion with marten and inge world of words m syntax and word order a m syntax and word order b m discussion with marten and inge world of word order m interview with prof noam chomsky m introduction basque m tarifit berber m gungbe m turkish s abruzzese m mandarin chinese s conclusion structure beyond sentences m reading reading required and optional readings h quiz practice exercise test your knowledge m week week hours to complete hours to complete the study of meaning pragmatics and semantics this module deals with a topic which many of you find very interesting meaning how do we determine what a word means to what extent does our language influence our thinking how can we change the world with language as usual, we also have an additional interview with an expert of the current module s theme in this module barend beekhuizen talks to inge and marten about his work as a leiden ph d student in computational linguistics hours to complete hours to complete reading videos total min , readings, quiz see all video videos layers of meaning m semantics m discussion with marten and inge color and snow m pragmatics m discussion with marten and inge changing the world with sentences m interview with barend beekhuizen ma m introduction abruzzese m tarifit berber m turkish m basque s mandarin chinese m gungbe m conclusion untranslatable words m reading readings required and optional readings h quiz readings m quiz practice exercise test your knowledge m show more"
